taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
6	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Plantae		Plantae	Plantae			kingdom			accepted			Plantae					
1	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Animalia		Animalia	Animalia			kingdom			accepted			Animalia					
2	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Archaea		Archaea	Archaea			kingdom			accepted			Archaea					
4	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Chromista		Chromista	Chromista			kingdom			accepted			Chromista					
3	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Bacteria		Bacteria	Bacteria			kingdom			accepted			Bacteria					
7	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Protozoa		Protozoa	Protozoa			kingdom			accepted			Protozoa					
8	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Viruses		Viruses	Viruses			kingdom			accepted			Viruses					
5	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c				Fungi		Fungi	Fungi			kingdom			accepted			Fungi					
7663989	7ddf754f-d193-4cc9-b351-99906754a03b	1			Dicyemida		Dicyemida	Dicyemida			phylum			accepted			Animalia	Dicyemida				
105	7ddf754f-d193-4cc9-b351-99906754a03b	1			Porifera		Porifera	Porifera			phylum		Grant, R. E. (1836). Animal Kingdom. Pp. 107-118. In: Todd, R.B. (Ed.),The Cyclopaedia of Anatomy and Physiology. Volume 1, (Sherwood,Gilbert, and Piper: London): 1–813. https://www.marinespecies.org/porifera/aphia.php?p=sourcedetails&id=7516	accepted			Animalia	Porifera				
9	daacce49-b206-469b-8dc2-2257719f3afa	6			Marchantiophyta		Marchantiophyta	Marchantiophyta			phylum		Crandall-Stotler, B. J., & Stotler, R. E. (2000). Morphology and classification of the Marchantiophyta. In A. J. Shaw & B. Goffinet, Bryophyte Biology (pp. 21–70). Cambridge University Press. https://www.tropicos.org/reference/9021946	accepted			Plantae	Marchantiophyta				
7819616	7ea21580-4f06-469d-995b-3f713fdcc37c	6			Charophyta		Charophyta	Charophyta			phylum			accepted			Plantae	Charophyta				
5959089	7ddf754f-d193-4cc9-b351-99906754a03b	1			Kinorhyncha		Kinorhyncha	Kinorhyncha			phylum		Reinhard, W. (1885). Kinorhyncha (Echinoderes), leur structure anatomique et leur place dans le système. Travaux De La Société Des Naturalistes À l’Université Impériale De Kharkow, 19: 205–305, pls. VIII–XII. [in Russian]. https://www.marinespecies.org/kinorhyncha/aphia.php?p=sourcedetails&id=167942	accepted			Animalia	Kinorhyncha				
5967481	7ddf754f-d193-4cc9-b351-99906754a03b	1			Nematoda		Nematoda	Nematoda			phylum			accepted			Animalia	Nematoda				
14	7ddf754f-d193-4cc9-b351-99906754a03b	1			Tardigrada		Tardigrada	Tardigrada			phylum			accepted			Animalia	Tardigrada				
106	7ea21580-4f06-469d-995b-3f713fdcc37c	6			Rhodophyta		Rhodophyta	Rhodophyta			phylum			accepted			Plantae	Rhodophyta				
108	7ddf754f-d193-4cc9-b351-99906754a03b	1			Platyhelminthes		Platyhelminthes	Platyhelminthes			phylum			accepted			Animalia	Platyhelminthes				
44	daacce49-b206-469b-8dc2-2257719f3afa	1			Chordata		Chordata	Chordata			phylum			accepted			Animalia	Chordata				
37	7ea21580-4f06-469d-995b-3f713fdcc37c	6			Glaucophyta		Glaucophyta	Glaucophyta			phylum			accepted			Plantae	Glaucophyta				
5967454	7ddf754f-d193-4cc9-b351-99906754a03b	1			Micrognathozoa		Micrognathozoa	Micrognathozoa			phylum			accepted			Animalia	Micrognathozoa				
51	daacce49-b206-469b-8dc2-2257719f3afa	1			Ctenophora		Ctenophora	Ctenophora			phylum		Eschscholtz, F. (1829). System der Acalephen. Eine ausführliche Beschreibung aller medusenartigen Strahltiere. Ferdinand Dümmler, Berlin, pp. 1–190, 116 pls. http://faculty.washington.edu/cemills/Ctenolist.html/aphia.php?p=sourcedetails&id=35914	accepted			Animalia	Ctenophora				
64	7ddf754f-d193-4cc9-b351-99906754a03b	1			Nematomorpha		Nematomorpha	Nematomorpha			phylum			accepted			Animalia	Nematomorpha				
76	7ddf754f-d193-4cc9-b351-99906754a03b	1			Placozoa		Placozoa	Placozoa			phylum		Grell KG. (1971). Trichoplax adhaerens FE Schulze und die Entstehung der Metazoen. Naturwissenschaftliche Rundschau, 24(4):160–161. https://www.marinespecies.org/placozoa/aphia.php?p=sourcedetails&id=336570	accepted			Animalia	Placozoa				
34	7ddf754f-d193-4cc9-b351-99906754a03b	5			Basidiomycota		Basidiomycota	Basidiomycota			phylum			accepted			Fungi	Basidiomycota				
50	7ddf754f-d193-4cc9-b351-99906754a03b	1			Echinodermata		Echinodermata	Echinodermata			phylum			accepted			Animalia	Echinodermata				
12238325	7ddf754f-d193-4cc9-b351-99906754a03b	5			Mucoromycota		Mucoromycota	Mucoromycota			phylum			accepted			Fungi	Mucoromycota				
75	7ddf754f-d193-4cc9-b351-99906754a03b	1			Hemichordata		Hemichordata	Hemichordata			phylum			accepted			Animalia	Hemichordata				
12237820	7ddf754f-d193-4cc9-b351-99906754a03b	5			Zoopagomycota		Zoopagomycota	Zoopagomycota			phylum			accepted			Fungi	Zoopagomycota				
10791940	7ddf754f-d193-4cc9-b351-99906754a03b	5			Entomophthoromycota		Entomophthoromycota	Entomophthoromycota			phylum			accepted			Fungi	Entomophthoromycota				
53	7ddf754f-d193-4cc9-b351-99906754a03b	1			Bryozoa		Bryozoa	Bryozoa			phylum			accepted			Animalia	Bryozoa				
62	7ddf754f-d193-4cc9-b351-99906754a03b	1			Onychophora		Onychophora	Onychophora			phylum			accepted			Animalia	Onychophora				
